date,complete,articles,war_articles,acts,threats,energy,peace,risk_balance,attention,attention_change,risk_change,news_innovation,macro
2026-01-02,True,2,0,0,0,0,0,0.0,0.0,,,,False
2026-01-05,True,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False
2026-01-06,True,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False
2026-01-07,True,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False
2026-01-08,True,3,1,0,0,0,1,-25.0,0.6931471805599453,0.6931471805599453,-25.0,0.6931471805599453,False
2026-01-09,True,2,0,0,0,0,0,0.0,0.0,-0.6931471805599453,25.0,0.6931471805599453,True
2026-01-12,True,16,3,1,2,0,1,4.6875,1.3862943611198906,1.3862943611198906,4.6875,1.3862943611198906,False
2026-01-13,True,7,1,0,1,0,0,7.142857142857143,0.6931471805599453,-0.6931471805599453,2.4553571428571432,0.6931471805599453,True
2026-01-14,True,7,1,0,1,0,0,7.142857142857143,0.6931471805599453,0.0,0.0,0.0,False
2026-01-15,True,5,2,2,2,0,0,40.0,1.0986122886681098,0.4054651081081645,32.857142857142854,0.4054651081081645,False
2026-01-16,True,2,0,0,0,0,0,0.0,0.0,-1.0986122886681098,-40.0,1.0986122886681098,False
2026-01-20,True,8,1,1,1,0,0,12.5,0.6931471805599453,0.6931471805599453,12.5,0.6931471805599453,False
2026-01-21,True,1,0,0,0,0,0,0.0,0.0,-0.6931471805599453,-12.5,0.6931471805599453,False
2026-01-22,True,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False
2026-01-23,True,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False
2026-01-26,True,7,2,2,1,0,0,28.571428571428573,1.0986122886681098,1.0986122886681098,28.571428571428573,1.0986122886681098,False
2026-01-27,True,2,1,0,1,0,0,25.0,0.6931471805599453,-0.4054651081081645,-3.571428571428573,0.4054651081081645,False
2026-01-28,True,3,1,0,1,0,1,-16.666666666666668,0.6931471805599453,0.0,-41.66666666666667,0.0,True
2026-01-29,True,8,2,1,1,0,1,6.25,1.0986122886681098,0.4054651081081645,22.916666666666668,0.4054651081081645,False
2026-01-30,True,5,2,1,2,0,0,30.0,1.0986122886681098,0.0,23.75,0.0,False
2026-02-02,True,2,0,0,0,0,0,0.0,0.0,-1.0986122886681098,-30.0,1.0986122886681098,False
2026-02-03,True,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False
2026-02-04,True,3,1,0,0,0,1,-25.0,0.6931471805599453,0.6931471805599453,-25.0,0.6931471805599453,False
2026-02-05,True,2,0,0,0,0,0,0.0,0.0,-0.6931471805599453,25.0,0.6931471805599453,False
2026-02-06,True,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False
2026-02-09,True,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False
2026-02-10,True,2,1,0,1,0,0,50.0,0.6931471805599453,0.6931471805599453,50.0,0.6931471805599453,False
2026-02-11,True,2,2,0,2,0,1,0.0,1.0986122886681098,0.4054651081081645,-50.0,0.4054651081081645,True
2026-02-12,True,1,0,0,0,0,0,0.0,0.0,-1.0986122886681098,0.0,1.0986122886681098,False
2026-02-13,True,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,True
2026-02-17,True,8,2,0,1,0,2,-15.625,1.0986122886681098,1.0986122886681098,-15.625,1.0986122886681098,False
2026-02-18,True,0,0,0,0,0,0,0.0,0.0,-1.0986122886681098,15.625,1.0986122886681098,False
2026-02-19,True,3,2,2,0,0,2,0.0,1.0986122886681098,1.0986122886681098,0.0,1.0986122886681098,False
2026-02-20,True,0,0,0,0,0,0,0.0,0.0,-1.0986122886681098,0.0,1.0986122886681098,False
2026-02-23,True,7,3,2,2,0,1,21.428571428571427,1.3862943611198906,1.3862943611198906,21.428571428571427,1.3862943611198906,False
2026-02-24,True,1,0,0,0,0,0,0.0,0.0,-1.3862943611198906,-21.428571428571427,1.3862943611198906,False
2026-02-25,True,2,1,0,1,0,1,-25.0,0.6931471805599453,0.6931471805599453,-25.0,0.6931471805599453,False
2026-02-26,True,3,3,0,1,0,0,50.0,1.3862943611198906,0.6931471805599453,75.0,0.6931471805599453,False
2026-02-27,True,3,2,0,1,0,1,-8.333333333333334,1.0986122886681098,-0.2876820724517808,-58.333333333333336,0.2876820724517808,False
2026-03-02,True,65,37,27,5,2,2,44.23076923076923,3.6375861597263857,2.5389738710582757,52.56410256410257,2.5389738710582757,False
2026-03-03,True,29,18,9,1,2,0,43.10344827586207,2.9444389791664403,-0.6931471805599454,-1.1273209549071623,0.6931471805599454,False
2026-03-04,True,21,8,5,1,0,0,27.38095238095238,2.1972245773362196,-0.7472144018302207,-15.722495894909692,0.7472144018302207,False
2026-03-05,True,15,10,4,2,0,1,33.333333333333336,2.3978952727983707,0.2006706954621511,5.952380952380956,0.2006706954621511,False
