series,variable,unit,lag,N,effect_per_sd_signed_news_change,se_HAC,p,ci_lo,ci_hi,R2,risk_change_sd_index_points,q_BH
DCOILWTICO,WTI spot,USD/bbl,-1,175,-0.08335135402142126,0.1899410591473081,0.6607865558323509,-0.45562898913553734,0.28892628109269486,0.07886773082965304,40.13762715056077,0.9097222709056724
DTWEXBGS,Broad US dollar,%,-1,173,-0.0030048736499899997,0.014498247069698681,0.8358085907527146,-0.03142091574556279,0.02541116844558279,0.07265987862502132,40.13762715056077,0.94724973618641
VIXCLS,VIX,points,-1,176,-0.05623259590631631,0.10667500211248085,0.5980967922807355,-0.26531175809751295,0.15284656628488036,0.09590291658488703,40.13762715056077,0.9097222709056724
DEXUSEU,EUR/USD,%,-1,173,-0.0005024207297675812,0.019165277574317116,0.9790857277811472,-0.0380656745291423,0.037060833069607134,0.0514984713518023,40.13762715056077,0.9790857277811472
DEXJPUS,USD/JPY,%,-1,173,-0.019061209423784215,0.044653160693631386,0.6694721461588012,-0.1065797961791813,0.06845737733161288,0.07086153253869565,40.13762715056077,0.9097222709056724
NIKKEI225,Nikkei 225 local close,%,-1,148,-0.011000968825021926,0.166859130127177,0.9474338118540278,-0.3380388543659712,0.3160369167159273,0.09142894146142988,40.13762715056077,0.9790857277811472
GLD,Gold ETF GLD,%,-1,176,-0.2453576475653958,0.1327383363466015,0.06454002655170475,-0.5055200061724987,0.014804711041707164,0.06602627246814496,40.13762715056077,0.9097222709056724
ACWI,Global equity ETF ACWI,%,-1,176,0.018539967386615216,0.07571288319537088,0.8065555194834808,-0.1298545568419996,0.16693449161523005,0.09819447884770516,40.13762715056077,0.94724973618641
FEZ,Euro-area equity ETF FEZ,%,-1,176,-0.03571089901370178,0.09129202182004267,0.6956699718690436,-0.21463997385683017,0.1432181758294266,0.08503042962043728,40.13762715056077,0.9097222709056724
EEM,EM equity ETF EEM,%,-1,176,0.07153581892268455,0.1474732142845551,0.6276219450279252,-0.21750636975940124,0.3605780076047704,0.08825395333322694,40.13762715056077,0.9097222709056724
