series,variable,L_second_moment,H_second_moment,predicted_variance_shift,raw_H_share_pct,raw_all_share_pct,admissible_bounds
DGS10,US 10-year yield,11.777777777777732,24.277777777777715,9.430472084844107,38.84404977739002,5.119074111194032,True
T10YIE,US 10-year breakeven,3.5555555555555522,5.888888888888866,1.8439928646634374,31.31308638107736,4.12834223432114,True
SP500,S&P 500,0.4232123234671044,0.8286544629995005,0.0697329481751169,8.415202148637789,1.0078777454006715,True
BAMLC0A4CBBB,US BBB OAS,1.2222222222222223,1.1111111111111132,0.10130497817830497,9.117448036047431,0.7473318062333981,True
BAMLH0A0HYM2,US high-yield OAS,15.444444444444445,28.55555555555565,7.365018850540834,25.791894807341357,2.8951810288214657,True
DCOILBRENTEU,Brent spot,20.823829411764695,38.32380588235296,10.807403737147638,28.200236089088808,5.462458157098514,True
DCOILWTICO,WTI spot,15.965950000000008,32.17155,9.742748324447586,30.283739280350446,7.549049809504252,True
DTWEXBGS,Broad US dollar,0.10477838121829687,0.15832451106356307,0.043355221476274734,27.383770955634763,5.6934246024570045,True
VIXCLS,VIX,1.670194444444445,3.808511111111114,0.244765051781713,6.426791064561291,0.9925221154189848,True
DEXUSEU,EUR/USD,0.1615730677679189,0.25110559165821605,0.090608062231606,36.08364976393442,7.416779583878657,True
DEXJPUS,USD/JPY,0.21691460830561485,0.4838533372454275,0.25640515283557713,52.99232910023712,9.110711746693829,True
NIKKEI225,Nikkei 225 local close,4.141413176400102,4.6884604955032225,0.06932735503584968,1.4786805840071096,0.1666281573767188,True
GLD,Gold ETF GLD,2.96726647187719,2.9117703713305527,0.0033123668984052492,0.11375783375705006,0.008462197911615017,True
ACWI,Global equity ETF ACWI,0.5666073267948644,1.3866323561370382,0.5696209301331746,41.07944889733123,6.4323791178536815,True
FEZ,Euro-area equity ETF FEZ,1.1136233560235356,3.5919249781333056,2.6585793986530164,74.01544895391046,16.907468996943674,True
EEM,EM equity ETF EEM,2.0524728131243517,5.818945530522881,4.318281044838129,74.21071433280963,13.565777999176223,True
