H,L,H_innovation,L_innovation
2026-01-12,2026-01-08,1.3862943611198906,0.6931471805599453
2026-01-26,2026-01-23,1.0986122886681098,0.0
2026-02-17,2026-02-09,1.0986122886681098,0.0
2026-02-19,2026-02-10,1.0986122886681098,0.6931471805599453
2026-02-23,2026-02-25,1.3862943611198906,0.6931471805599453
2026-03-02,2026-03-05,2.5389738710582757,0.2006706954621511
2026-03-16,2026-03-12,1.9924301646902063,0.2876820724517808
2026-03-23,2026-03-19,1.7346010553881064,0.15415067982725827
2026-03-24,2026-03-25,1.2237754316221159,0.5108256237659905
2026-04-08,2026-04-02,1.0986122886681098,0.5596157879354227
2026-04-09,2026-04-15,1.0986122886681098,0.6931471805599453
2026-05-04,2026-05-01,1.0986122886681096,0.0
2026-05-26,2026-05-22,2.0794415416798357,0.0
2026-06-08,2026-06-04,1.9459101490553132,0.4054651081081645
2026-06-11,2026-06-03,1.0986122886681098,0.0
2026-06-22,2026-06-18,1.0986122886681098,0.2876820724517808
2026-07-13,2026-07-09,1.6094379124341003,0.2876820724517808
2026-08-24,2026-08-21,1.791759469228055,0.6931471805599453
