series,variable,unit,pairs,e1_beta,e2_beta,e3_beta,e1_effect_minus25bp,e2_effect_minus25bp,e3_effect_minus25bp,e1_robust_se_effect,e2_robust_se_effect,e3_robust_se_effect,e1_robust_p,e2_robust_p,e3_robust_p,e1_block_ci_lo,e1_block_ci_hi,centered_e1_effect,delta_anchor_second_moment,delta_anchor_ci_lo,delta_anchor_ci_hi,bootstrap_prob_positive_anchor_shift,first_stage_robust_F_z1,AR_zero_p,AR_effect_confidence_set,relative_rank1_residual,specification
DGS10,US 10-year yield,bp,10,1.3522727272727209,0.9579831932773072,0.7591575137497472,-33.806818181818024,-23.94957983193268,-18.97893784374368,53.45879703543539,11.057747670573507,9.08280277544722,0.5271319503331242,0.03032156555818084,0.036658565680160814,-171.8750000000023,106.28787878788714,-28.552631578947295,8.800000000000075,-17.01499999999985,36.400000000000006,0.6892230576441103,0.19323359932851644,0.12718696949699998,"[-inf, -13.92] U [-5.74, +inf]",0.41158293460924916,top10
T10YIE,US 10-year breakeven,bp,10,0.28409090909090423,0.8399999999999995,0.40674581959054124,-7.102272727272606,-20.99999999999999,-10.16864548976353,15.412892030040384,29.65600107903985,18.095561564760896,0.6449415393884756,0.478870897287048,0.574155934581994,-65.02586206896207,58.59374999999852,-4.166666666666603,8.800000000000075,-18.399999999999725,39.85999999999999,0.7117794486215538,0.19323359932851644,0.452655225905889,"[-inf, +inf]",0.6617965367965424,top10
SP500,S&P 500,%,10,0.046859706601459904,-0.02581411327333972,0.030032528253241424,-1.1714926650364976,0.645352831833493,-0.7508132063310355,9.248629571870163,17.67510178280188,3.465172888941078,0.8992042648645336,0.9708741323286295,0.8284623361271483,-13.153989449753821,26.563978999710372,-1.433014084978041,8.800000000000075,-20.904999999999845,39.79999999999998,0.6942355889724311,0.19323359932851644,0.812693029569892,"[-inf, +inf]",2.815274695096951,top10
BAMLC0A4CBBB,US BBB OAS,bp,10,-0.7954545454545381,0.02857142857142833,-0.004052648822667079,19.886363636363452,-0.7142857142857083,0.10131622056667698,58.671039981544624,3.701508635780564,3.5468637540351273,0.734649777097991,0.8469812796790214,0.9772115137258207,-103.88888888889402,82.7870370370326,14.561403508771836,8.800000000000075,-16.524999999999952,36.44500000000001,0.7192982456140351,0.19323359932851644,0.10257946122965966,"[-inf, -12.32] U [-1.52, +inf]",28.840909090909072,top10
BAMLH0A0HYM2,US high-yield OAS,bp,10,-1.5454545454545405,0.1764705882352813,-0.15862225243599656,38.63636363636351,-4.411764705882033,3.965556310899914,123.19236533411164,24.472446766405305,18.906105769834195,0.7538048950491537,0.8569368619850853,0.8338627732632583,-215.81908831910022,262.4524456521633,31.22807017543856,8.800000000000075,-19.824999999999925,38.49999999999998,0.7017543859649122,0.19323359932851644,0.38772144275774867,"[-inf, +inf]",9.757575757576364,top10
DCOILBRENTEU,Brent spot (oil proxy),USD/bbl,10,0.9743181818181798,1.2608140891065933,1.12249016550976,-24.357954545454493,-31.520352227664834,-28.062254137744002,35.37385828222634,48.06713448196528,38.32207771227304,0.49108363855849757,0.5119805902672734,0.46400145682670824,-199.67215909090936,71.22330659537401,-22.607894736842084,8.800000000000075,-19.350000000000016,35.505000000000145,0.7117794486215538,0.19323359932851644,0.46665265310731363,"[-inf, +inf]",0.2272308897590311,top10
GLD,Gold ETF GLD (gold proxy),%,10,0.6227024131514077,-0.2389845040389744,-0.018399986584555477,-15.567560328785193,5.97461260097436,0.4599996646138869,47.80151382799408,9.151155082934661,6.89310995122341,0.7446733902790881,0.5138331876960032,0.9467940595917514,-325.6873037984502,96.80458529336879,-11.89407611279977,8.800000000000075,-19.059999999999906,36.81500000000011,0.7468671679197995,0.19323359932851644,0.31900421204437246,"[-inf, +inf]",3.6056183669961097,top10
DTWEXBGS,Broad US dollar,%,10,0.06291963640887145,0.05234129672393823,0.05353997306839305,-1.5729909102217863,-1.3085324180984559,-1.3384993267098264,2.830386953658517,1.1544938668691604,1.1478491316238684,0.5783809587558857,0.25703574515471206,0.24357667421657225,-17.453850776313622,3.9907236275994102,-1.4731740944546672,8.800000000000075,-17.124999999999886,36.60000000000006,0.7042606516290727,0.19323359932851644,0.10061754701117792,"[-inf, +inf]",0.20210312596430613,top10
DGS10,US 10-year yield,bp,25,0.8145161290322606,0.7524752475247499,0.7993622460049762,-20.362903225806512,-18.811881188118747,-19.984056150124406,9.248965389530591,10.358937874358663,8.765206076377728,0.027690663490952488,0.06936963159741548,0.022611841394986416,-113.775470219432,38.18043884220557,-21.02643603133164,9.920000000000044,-2.801999999999916,25.860000000000063,0.9273182957393483,0.8392380002909773,0.052275857529523954,"[-inf, -7.51] U [-1.12, +inf]",0.08244906621392897,top25
T10YIE,US 10-year breakeven,bp,25,0.258064516129031,0.5312499999999917,0.26124642187345626,-6.451612903225774,-13.281249999999792,-6.531160546836406,6.702437788240285,12.793807373514548,6.725328917106552,0.3357598111337483,0.2992235536520632,0.33148414782289803,-53.32827868851931,50.76799140708887,-6.894582245430776,9.920000000000044,-3.059999999999937,24.167999999999964,0.9223057644110275,0.8392380002909773,0.2368033675450888,"[-inf, +inf]",0.5142314990512282,top25
SP500,S&P 500,%,25,-0.027523020836322996,-0.9378165712840839,0.03127337309268576,0.6880755209080749,23.4454142821021,-0.7818343273171441,2.593278223464783,87.62648794951295,2.9390628456106627,0.7907549558243272,0.789037398776177,0.790227781402921,-10.255136416509961,16.427341509034605,1.1656871655546674,9.920000000000044,-2.7239999999999087,25.540000000000134,0.9172932330827067,0.8392380002909773,0.7608219144778264,"[-inf, +inf]",0.9706520212170726,top25
BAMLC0A4CBBB,US BBB OAS,bp,25,-0.1895161290322583,0.04255319148935972,-0.08833418116643692,4.737903225806458,-1.063829787233993,2.208354529160923,7.646019533083338,7.80637139524923,3.0788079321218955,0.5354841737273371,0.8916022131698332,0.4732039149493964,-119.22023809524076,48.19763729246368,4.834366840731078,9.920000000000044,-2.251999999999958,25.046000000000046,0.9373433583959899,0.8392380002909773,0.41121721942319467,"[-inf, -14.32] U [-7.56, +inf]",5.453629032258277,top25
BAMLH0A0HYM2,US high-yield OAS,bp,25,-0.10887096774194185,-8.592592592592114,-0.27997104830262126,2.7217741935485464,214.81481481480284,6.999276207565532,16.25556247378919,1298.103019642705,17.35548192874188,0.8670266218434213,0.8685633244616531,0.686735579736494,-99.40916666666799,252.6458333333177,1.5380221932116376,9.920000000000044,-2.5319999999998872,23.154000000000032,0.9298245614035088,0.8392380002909773,0.886447909376313,"[-inf, +inf]",0.9873296718576182,top25
DCOILBRENTEU,Brent spot (oil proxy),USD/bbl,24,0.7190452261306532,1.6156265287581215,0.8248532801167283,-17.97613065326633,-40.39066321895304,-20.62133200291821,16.011055346927524,52.81573234676903,18.36100718627787,0.26155116159663605,0.4444223219511293,0.2613930641229687,-246.78636363636886,213.7948489010963,-18.465429403202346,8.2916666666667,-4.474999999999843,22.96250000000005,0.8621553884711779,0.5634145510357722,0.33364086255494996,"[-inf, +inf]",0.5549434146248146,top25
GLD,Gold ETF GLD (gold proxy),%,25,-0.06737221814617891,0.6245456142467455,-0.09889795487373965,1.6843054536544728,-15.613640356168638,2.472448871843491,5.5093482959911375,93.33021488735315,5.452207700803251,0.7598195728207517,0.8671382579941517,0.650205554953402,-54.27777717748568,58.47032812558235,1.7583271589024567,9.920000000000044,-2.4839999999998783,23.516000000000002,0.9122807017543859,0.8392380002909773,0.827817215032592,"[-inf, +inf]",1.1078739752699016,top25
DTWEXBGS,Broad US dollar,%,25,0.05746371187504423,0.030026853662189976,0.048354168174817976,-1.4365927968761059,-0.7506713415547493,-1.2088542043704493,1.2072179312552147,2.596578904809108,1.1342860661700649,0.234045265984693,0.7725047415571067,0.28654112173713797,-9.979839923347836,10.534147251003628,-1.482040743980895,9.920000000000044,-1.9719999999999336,24.40200000000006,0.9348370927318296,0.8392380002909773,0.012738497411577766,"[-inf, -0.26] U [3.05, +inf]",0.9137440279799591,top25
DGS10,US 10-year yield,bp,19,0.9677419354838657,1.0393939393939389,1.0308084804111681,-24.19354838709664,-25.98484848484847,-25.770212010279202,8.570915952981794,6.847770164852424,6.893060447814787,0.00476137637421064,0.00014785557935469018,0.0001850675071564903,-112.11693548387841,93.87013729976242,-23.021968946151187,-17.947368421052644,-39.37631578947375,4.060526315789627,0.07518796992481203,2.226157900166822,0.040319200505033695,"[-inf, -11.47] U [6.08, +inf]",0.06893633029249038,next_session
T10YIE,US 10-year breakeven,bp,19,0.13196480938416194,0.5333333333333431,0.11348701107827674,-3.2991202346040485,-13.333333333333577,-2.8371752769569185,3.5198452849261055,14.203788207774522,3.507751630562186,0.3486087556521975,0.3478762118686718,0.4186128513449632,-38.89756944444329,19.61718749999873,-2.485959696068668,-17.947368421052644,-43.484210526315884,3.3763157894737095,0.07518796992481203,2.226157900166822,0.49350606774168027,"[-inf, +inf]",0.7525659824047009,next_session
SP500,S&P 500,%,19,-0.14953018775020413,-0.08690741373844998,-0.11506505745569537,3.738254693755103,2.1726853434612496,2.8766264363923844,2.3786619758242606,2.2799956979552194,1.1926728806591973,0.11604827014026356,0.34062352906483306,0.01586895050870585,-19.762632831254045,34.133204945397004,4.053970558829917,-17.947368421052644,-44.8605263157897,4.978947368421171,0.06015037593984962,2.226157900166822,0.0371458796743979,"[-inf, -9.17] U [0.24, +inf]",0.7205688366267455,next_session
BAMLC0A4CBBB,US BBB OAS,bp,19,7.60877187257768e-16,,0.011730205278592962,-1.90219296814442e-14,,-0.29325513196482406,2.7936303347885043,,2.629521467256552,0.9999999999999946,,0.9112007205165735,-8.941558441558788,11.38669301712759,0.35100759828210265,-17.947368421052644,-43.055263157894906,4.084210526315961,0.06516290726817042,2.226157900166822,0.999999999999992,"[-inf, +inf]",1.0,next_session
BAMLH0A0HYM2,US high-yield OAS,bp,19,0.11143695014662608,-0.36842105263158875,0.091900946470087,-2.785923753665652,9.21052631578972,-2.297523661752175,9.03757221305706,103.24520949869137,6.9061098326976085,0.757884353566848,0.9289148552138579,0.7393759527667378,-121.0972222222305,123.81434663416798,-3.154938883382858,-17.947368421052644,-44.35000000000009,5.500000000000159,0.07017543859649122,2.226157900166822,0.7996442400040268,"[-inf, +inf]",1.3024717218265485,next_session
DCOILBRENTEU,Brent spot (oil proxy),USD/bbl,18,0.4702364864864844,0.41336877649257037,0.4676845610646925,-11.75591216216211,-10.334219412314258,-11.692114026617313,6.346560732088021,21.795931367469144,6.340088101251432,0.06397873701533416,0.6354034616776538,0.06516035087732157,-42.445564516129316,7.790065277778188,-10.142231308411175,-16.44444444444444,-40.90277777777788,4.611111111111258,0.07017543859649122,1.694535489278075,0.14006700761272933,"[-inf, +inf]",0.13757137265285493,next_session
GLD,Gold ETF GLD (gold proxy),%,19,-0.23250212542000917,-0.012877913496227031,-0.1950329253198994,5.812553135500229,0.3219478374056758,4.8758231329974855,4.69490122152818,10.519371861256268,4.111728545783583,0.2156950990567894,0.9755843679737817,0.235688281881136,-27.05683546430719,43.67368437656169,5.538251502521176,-17.947368421052644,-45.02894736842123,6.031578947368554,0.07769423558897243,2.226157900166822,0.10726678194418507,"[-inf, -9.43] U [-2.38, +inf]",17.054331976071094,next_session
DTWEXBGS,Broad US dollar,%,18,0.04952989748234728,0.04560813798701045,0.048170348248861024,-1.238247437058682,-1.1402034496752613,-1.2042587062215255,0.8946798589431048,1.3392891103013294,0.6940611721948248,0.166354856998157,0.3945750963987308,0.0827248379815605,-13.24528795145338,7.179703135798953,-1.278639005860642,-18.944444444444468,-43.23055555555559,9.008333333333441,0.08521303258145363,2.2588613726039135,4.8675492425499184e-05,"[-inf, -0.39] U [4.77, +inf]",0.08598815186127028,next_session
